Year,Total_Passengers,Total_Weighted_Fare,Avg_Fare,Passenger_YOY_Pct,Fare_YOY_Pct
1997,2142708,376209436.7,175.58,,
1998,2176751,393854947.5,180.94,1.59%,3.05%
1999,2322845,422896118.8,182.06,6.71%,0.62%
2000,2451166,467405650.6,190.69,5.52%,4.74%
2001,2227591,391098277.3,175.57,-9.12%,-7.93%
2002,2163044,363890383.4,168.23,-2.90%,-4.18%
2003,2195072,370318465.9,168.7,1.48%,0.28%
2004,2419912,389201883.2,160.83,10.24%,-4.67%
2005,2668864,431293576.6,161.6,10.29%,0.48%
2006,2710824,471486766.7,173.93,1.57%,7.63%
2007,2657244,464929535.1,174.97,-1.98%,0.60%
2008,2631011,496368768.8,188.66,-0.99%,7.83%
2009,2503994,429110275,171.37,-4.83%,-9.16%
2010,2519171,478276035,189.85,0.61%,10.79%
2011,2535721,523871797.1,206.6,0.66%,8.82%
2012,2542518,540478080.2,212.58,0.27%,2.89%
2013,2605331,568629388.8,218.26,2.47%,2.67%
2014,2680108,607231555,226.57,2.87%,3.81%
2015,2845538,619844589.9,217.83,6.17%,-3.86%
2016,2977255,614912853.8,206.54,4.63%,-5.18%
2017,3086637,632009964.4,204.76,3.67%,-0.86%
2018,3203950,673402656.6,210.18,3.80%,2.65%
2019,3262326,703586385.1,215.67,1.82%,2.61%
2020,1131511,210529399.6,186.06,-65.32%,-13.73%
2021,2133402,401443946.2,188.17,88.54%,1.13%
2022,2979369,687151318.6,230.64,39.65%,22.57%
2023,3202075,742335462.1,231.83,7.47%,0.52%
